source,relation,target,note
Week 01,maps_to,Chapter 01,课程导论与医药数据特征
Chapter 01,uses_dataset,Dataset 01,week01_glucose_contract.csv
Chapter 01,uses_code,Code 01,week01_glucose_contract.py
Chapter 01,uses_diagram,Diagram 01,week01_evidence_chain.mmd
Chapter 01,checks,AI 协作边界,AI assists but does not replace evidence review
Chapter 01,teaches,医药数据,core concept
Chapter 01,teaches,证据边界,core concept
Week 02,maps_to,Chapter 02,数据分析流程、复现规范与人机协作规范
Chapter 02,uses_dataset,Dataset 02,week02_project_manifest.csv
Chapter 02,uses_code,Code 02,week02_project_manifest.py
Chapter 02,uses_diagram,Diagram 02,week02_reproducible_workflow.mmd
Chapter 02,checks,AI 协作边界,AI assists but does not replace evidence review
Chapter 02,teaches,可复现,core concept
Chapter 02,teaches,项目目录,core concept
Week 03,maps_to,Chapter 03,AI 辅助编程与 Python 快速入门
Chapter 03,uses_dataset,Dataset 03,week03_glucose_values.csv
Chapter 03,uses_code,Code 03,week03_glucose_filter.py
Chapter 03,uses_diagram,Diagram 03,week03_python_audit_loop.mmd
Chapter 03,checks,AI 协作边界,AI assists but does not replace evidence review
Chapter 03,teaches,变量,core concept
Chapter 03,teaches,列表,core concept
Week 04,maps_to,Chapter 04,R 基础语法、数据框操作与 AI 代码核验
Chapter 04,uses_dataset,Dataset 04,week04_marker_table.csv
Chapter 04,uses_code,Code 04,week04_marker_summary.R
Chapter 04,uses_diagram,Diagram 04,week04_r_dataframe_layers.mmd
Chapter 04,checks,AI 协作边界,AI assists but does not replace evidence review
Chapter 04,teaches,data.frame,core concept
Chapter 04,teaches,factor,core concept
Week 05,maps_to,Chapter 05,数据读取与整理
Chapter 05,uses_dataset,Dataset 05,week05_raw_glucose_table.csv
Chapter 05,uses_code,Code 05,week05_dictionary_check.py
Chapter 05,uses_diagram,Diagram 05,week05_table_reshape.mmd
Chapter 05,checks,AI 协作边界,AI assists but does not replace evidence review
Chapter 05,teaches,原始表,core concept
